frame,time_sec,left_ratio,right_ratio,avg_ratio,blink_event
0,0.0,0.17558,0.24751,0.21154,0
1,0.033,0.18347,0.09928,0.14138,0
2,0.067,0.20398,0.09967,0.15183,0
3,0.1,0.24273,0.21325,0.22799,0
4,0.133,0.24888,0.24566,0.24727,0
5,0.167,0.23185,0.2473,0.23957,0
6,0.2,0.17996,0.13413,0.15705,0
7,0.234,0.18414,0.14233,0.16324,0
8,0.267,0.22514,0.21306,0.2191,0
9,0.3,0.24231,0.2646,0.25346,0
10,0.334,0.26538,0.27553,0.27045,1
11,0.367,0.2838,0.28152,0.28266,0
12,0.4,0.285,0.30717,0.29608,0
13,0.434,0.283,0.3071,0.29505,0
14,0.467,0.28093,0.30963,0.29528,0
15,0.501,0.2886,0.3132,0.3009,0
16,0.534,0.28832,0.32864,0.30848,0
17,0.567,0.29752,0.32553,0.31153,0
18,0.601,0.28263,0.32564,0.30413,0
19,0.634,0.2792,0.33735,0.30828,0
20,0.667,0.30026,0.32965,0.31495,0
21,0.701,0.29311,0.3382,0.31566,0
22,0.734,0.29993,0.33503,0.31748,0
23,0.767,0.29172,0.33754,0.31463,0
24,0.801,0.2906,0.34041,0.31551,0
25,0.834,0.29349,0.33919,0.31634,0
26,0.868,0.29609,0.33773,0.31691,0
27,0.901,0.3008,0.33894,0.31987,0
28,0.934,0.29684,0.33922,0.31803,0
29,0.968,0.28215,0.32555,0.30385,0
30,1.001,0.29588,0.32838,0.31213,0
31,1.034,0.29826,0.3366,0.31743,0
32,1.068,0.29885,0.33451,0.31668,0
33,1.101,0.29447,0.32748,0.31097,0
34,1.134,0.2955,0.32676,0.31113,0
35,1.168,0.28841,0.33364,0.31102,0
36,1.201,0.28903,0.34057,0.3148,0
37,1.235,0.29436,0.34011,0.31723,0
38,1.268,0.28413,0.33842,0.31127,0
39,1.301,0.28372,0.3393,0.31151,0
40,1.335,0.29308,0.32863,0.31085,0
41,1.368,0.28523,0.33348,0.30935,0
42,1.401,0.30026,0.32167,0.31096,0
43,1.435,0.2912,0.31348,0.30234,0
44,1.468,0.28536,0.30559,0.29547,0
45,1.502,0.19933,0.21856,0.20894,0
46,1.535,0.14434,0.09029,0.11731,0
47,1.568,0.19038,0.10582,0.1481,0
48,1.602,0.21733,0.23859,0.22796,0
49,1.635,0.22909,0.24141,0.23525,0
50,1.668,0.24437,0.27428,0.25933,0
51,1.702,0.25798,0.2728,0.26539,1
52,1.735,0.25989,0.27988,0.26988,0
53,1.768,0.24768,0.28422,0.26595,0
54,1.802,0.25473,0.26654,0.26064,0
55,1.835,0.26244,0.26936,0.2659,0
56,1.869,0.26751,0.28689,0.2772,0
57,1.902,0.27011,0.27855,0.27433,0
58,1.935,0.27023,0.29834,0.28428,0
59,1.969,0.26934,0.28716,0.27825,0
60,2.002,0.26086,0.30556,0.28321,0
61,2.035,0.26319,0.29908,0.28114,0
62,2.069,0.26736,0.29947,0.28341,0
63,2.102,0.27853,0.3332,0.30587,0
64,2.135,0.28546,0.33317,0.30932,0
65,2.169,0.28563,0.31901,0.30232,0
66,2.202,0.27227,0.32757,0.29992,0
67,2.236,0.27333,0.33896,0.30614,0
68,2.269,0.2833,0.32582,0.30456,0
69,2.302,0.28939,0.31572,0.30256,0
70,2.336,0.28983,0.32946,0.30964,0
71,2.369,0.28977,0.33628,0.31302,0
72,2.402,0.29447,0.33031,0.31239,0
73,2.436,0.29373,0.33046,0.31209,0
74,2.469,0.29821,0.33485,0.31653,0
75,2.502,0.2937,0.3347,0.3142,0
76,2.536,0.28299,0.36058,0.32178,0
77,2.569,0.298,0.35872,0.32836,0
78,2.603,0.28955,0.35689,0.32322,0
79,2.636,0.30134,0.3451,0.32322,0
80,2.669,0.29926,0.34529,0.32228,0
81,2.703,0.29854,0.35123,0.32489,0
82,2.736,0.29918,0.34596,0.32257,0
83,2.769,0.30416,0.3555,0.32983,0
84,2.803,0.30665,0.34111,0.32388,0
85,2.836,0.3081,0.3359,0.322,0
86,2.87,0.32591,0.36201,0.34396,0
87,2.903,0.31284,0.35616,0.3345,0
